module_name,module_version,full_name,prefix,obj_name,obj_doc,object_type,0,2,3
os,0,os.path._get_bothseps,path,_get_bothseps,"Python Library Documentation: function _get_bothseps in module ntpath

_get_bothseps(path)
",function,path,,arg_info
os,0,os.path.abspath,path,abspath,"Python Library Documentation: function abspath in module ntpath

abspath(path)
    Return the absolute version of a path.
",function,path,,arg_info
os,0,os.path.basename,path,basename,"Python Library Documentation: function basename in module ntpath

basename(p)
    Returns the final component of a pathname
",function,p,,arg_info
os,0,os.path.commonpath,path,commonpath,"Python Library Documentation: function commonpath in module ntpath

commonpath(paths)
    Given a sequence of path names, returns the longest common sub-path.
",function,paths,,arg_info
os,0,os.path.commonprefix,path,commonprefix,"Python Library Documentation: function commonprefix in module genericpath

commonprefix(m)
    Given a list of pathnames, returns the longest common leading component
",function,m,,arg_info
os,0,os.path.dirname,path,dirname,"Python Library Documentation: function dirname in module ntpath

dirname(p)
    Returns the directory component of a pathname
",function,p,,arg_info
os,0,os.path.exists,path,exists,"Python Library Documentation: function exists in module genericpath

exists(path)
    Test whether a path exists.  Returns False for broken symbolic links
",function,path,,arg_info
os,0,os.path.expanduser,path,expanduser,"Python Library Documentation: function expanduser in module ntpath

expanduser(path)
    Expand ~ and ~user constructs.
    
    If user or $HOME is unknown, do nothing.
",function,path,,arg_info
os,0,os.path.expandvars,path,expandvars,"Python Library Documentation: function expandvars in module ntpath

expandvars(path)
    Expand shell variables of the forms $var, ${var} and %var%.
    
    Unknown variables are left unchanged.
",function,path,,arg_info
os,0,os.path.getatime,path,getatime,"Python Library Documentation: function getatime in module genericpath

getatime(filename)
    Return the last access time of a file, reported by os.stat().
",function,filename,,arg_info
os,0,os.path.getctime,path,getctime,"Python Library Documentation: function getctime in module genericpath

getctime(filename)
    Return the metadata change time of a file, reported by os.stat().
",function,filename,,arg_info
os,0,os.path.getmtime,path,getmtime,"Python Library Documentation: function getmtime in module genericpath

getmtime(filename)
    Return the last modification time of a file, reported by os.stat().
",function,filename,,arg_info
os,0,os.path.getsize,path,getsize,"Python Library Documentation: function getsize in module genericpath

getsize(filename)
    Return the size of a file, reported by os.stat().
",function,filename,,arg_info
os,0,os.path.isabs,path,isabs,"Python Library Documentation: function isabs in module ntpath

isabs(s)
    Test whether a path is absolute
",function,s,,arg_info
os,0,os.path.isfile,path,isfile,"Python Library Documentation: function isfile in module genericpath

isfile(path)
    Test whether a path is a regular file
",function,path,,arg_info
os,0,os.path.islink,path,islink,"Python Library Documentation: function islink in module ntpath

islink(path)
    Test whether a path is a symbolic link.
    This will always return false for Windows prior to 6.0.
",function,path,,arg_info
os,0,os.path.ismount,path,ismount,"Python Library Documentation: function ismount in module ntpath

ismount(path)
    Test whether a path is a mount point (a drive root, the root of a
    share, or a mounted volume)
",function,path,,arg_info
os,0,os.path.join,path,join,"Python Library Documentation: function join in module ntpath

join(path, *paths)
    # Join two (or more) paths.
",function,path,,arg_info
os,0,os.path.lexists,path,lexists,"Python Library Documentation: function lexists in module ntpath

lexists(path)
    Test whether a path exists.  Returns True for broken symbolic links
",function,path,,arg_info
os,0,os.path.normcase,path,normcase,"Python Library Documentation: function normcase in module ntpath

normcase(s)
    Normalize case of pathname.
    
    Makes all characters lowercase and all slashes into backslashes.
",function,s,,arg_info
